Hauptbuch PayFlux GmbH – Auszug Geschäftsjahr 2024;;;;;;
Datum;Beleg;Gegenpartei;Beschreibung;Betrag;Waehrung;IBAN
15.01.2024;MIETE-01;Immobilien Weber KG;Büromiete Januar;-8.500,00;EUR;DE49500105175923716378
08.02.2024;RE-2024-033;Druckerei Held GmbH;Druckkosten Broschüren;-6.200,00;EUR;DE12500105170648489890
15.02.2024;RE-2024-033;Druckerei Held GmbH;Druckkosten Broschüren;-6.200,00;EUR;DE12500105170648489890
20.02.2024;GS-2024-008;Druckerei Held GmbH;Gutschrift – Stornierung Doppelbuchung RE-2024-033;6.200,00;EUR;DE12500105170648489890
12.03.2024;RE-2024-055;TechServe Solutions GmbH;Wartungsvertrag Q1;-12.750,00;EUR;DE75512108001245126199
15.03.2024;RE-2024-041;Nordwind Consulting GmbH;Beratungsleistungen März;-18.400,00;EUR;DE89370400440532013000
28.03.2024;RE-2024-041;Nordwind Consulting Ltd.;Beratungsleistungen März;-18.400,00;EUR;DE44500105175407324931
30.04.2024;RE-USD-2024-012;Global Data Inc.;Datenlizenzen (USD 10.000,00, Kurs 1,0811);-9.250,00;EUR;DE33100205000001194700
10.06.2024;AV-2024-003;Aurora Ventures GmbH;Strategische Beratung lt. Vertrag;-50.000,00;EUR;DE68210501700012345678
22.06.2024;LZ-2024-011;Meridian Holding AG;Lizenzgebühr Softwareplattform;47.500,00;EUR;DE55100400001234567800
15.07.2024;MIETE-07;Immobilien Weber KG;Büromiete Juli;-8.500,00;EUR;DE49500105175923716378
05.11.2024;RE-2024-077;Baltic Media UG;Kampagnenmanagement Q4;-24.900,00;EUR;DE21301204000000015228
20.12.2024;GEHALT-12;Lohnlauf Dezember;Gehälter und Sozialabgaben;-96.410,55;EUR;DE55100400001234567800
